time,LT
0.532,321
0.533,323
0.534,321
0.535,321
0.536,324
0.537,324
0.538,324
0.539,321
0.54,323
0.541,323
0.542,322
0.543,322
0.544,322
0.545,322
0.546,322
0.547,322
0.548,323
0.549,322
0.55,322
0.551,322
0.552,323
0.553,323
0.554,324
0.555,323
0.556,322
0.557,322
0.558,322
0.559,322
0.56,321
0.561,322
0.562,322
0.563,322
0.564,322
0.565,321
0.566,322
0.567,322
0.568,322
0.569,322
0.57,322
0.571,321
0.572,322
0.573,322
0.574,323
0.575,324
0.576,322
0.577,322
0.578,321
0.579,322
0.58,322
0.581,323
0.582,322
0.583,322
0.584,322
0.585,323
0.586,322
0.587,321
0.588,322
0.589,322
0.59,321
0.591,321
0.592,322
0.593,323
0.594,323
0.595,323
0.596,323
0.597,322
0.598,322
0.599,323
0.6,323
0.601,323
0.602,323
0.603,322
0.604,321
0.605,324
0.606,322
0.607,324
0.608,323
0.609,321
0.61,322
0.611,324
0.612,324
0.613,323
0.614,322
0.615,320
0.616,322
0.617,323
0.618,323
0.619,324
0.62,323
0.621,323
0.622,323
0.623,322
0.624,323
0.625,321
0.626,320
0.627,321
0.628,321
0.629,321
0.63,321
0.631,322
0.632,321
0.633,320
0.634,322
0.635,321
0.636,321
0.637,320
0.638,321
0.639,321
0.64,320
0.641,321
0.642,322
0.643,322
0.644,322
0.645,323
0.646,323
0.647,322
0.648,324
0.649,322
0.65,321
0.651,322
0.652,322
0.653,324
0.654,324
0.655,322
0.656,322
0.657,321
0.658,321
0.659,322
0.66,321
0.661,320
0.662,321
0.663,323
0.664,322
0.665,323
0.666,324
0.667,323
0.668,322
0.669,322
0.67,322
0.671,322
0.672,323
0.673,322
0.674,322
0.675,323
0.676,323
0.677,327
0.678,324
0.679,320
0.68,321
0.681,322
0.682,322
0.683,322
0.684,323
0.685,324
0.686,324
0.687,321
0.688,323
0.689,323
0.69,324
0.691,323
0.692,322
0.693,322
0.694,322
0.695,321
0.696,318
0.697,320
0.698,321
0.699,322
0.7,323
0.701,322
0.702,321
0.703,321
0.704,320
0.705,320
0.706,322
0.707,322
0.708,322
0.709,323
0.71,322
0.711,322
0.712,324
0.713,323
0.714,324
0.715,324
0.716,323
0.717,324
0.718,324
0.719,322
0.72,322
0.721,320
0.722,321
0.723,322
0.724,321
0.725,320
0.726,321
0.727,324
0.728,323
0.729,322
0.73,322
0.731,323
0.732,322
0.733,321
0.734,324
0.735,322
0.736,323
0.737,321
0.738,321
0.739,321
0.74,323
0.741,325
0.742,324
0.743,321
0.744,324
0.745,322
0.746,322
0.747,321
0.748,321
0.749,322
0.75,321
0.751,322
0.752,322
0.753,322
0.754,322
0.755,322
0.756,323
0.757,323
0.758,322
0.759,323
0.76,322
0.761,322
0.762,322
0.763,323
0.764,323
0.765,320
0.766,321
0.767,321
0.768,322
0.769,322
0.77,322
0.771,324
0.772,322
0.773,324
0.774,323
0.775,321
0.776,321
0.777,322
0.778,323
0.779,323
0.78,324
0.781,326
0.782,325
0.783,323
0.784,321
0.785,321
0.786,322
0.787,322
0.788,323
0.789,324
0.79,322
0.791,321
0.792,324
0.793,323
0.794,321
0.795,322
0.796,323
0.797,322
0.798,322
0.799,322
0.8,324
0.801,323
0.802,322
0.803,322
0.804,321
0.805,323
0.806,323
0.807,322
0.808,323
0.809,321
0.81,320
0.811,320
0.812,322
0.813,321
0.814,322
0.815,322
0.816,322
0.817,322
0.818,325
0.819,324
0.82,322
0.821,321
0.822,321
0.823,322
0.824,322
0.825,322
0.826,323
0.827,322
0.828,322
0.829,322
0.83,322
0.831,322
0.832,322
0.833,322
0.834,321
0.835,322
0.836,322
0.837,323
0.838,325
0.839,326
0.84,322
0.841,321
0.842,320
0.843,321
0.844,323
0.845,324
0.846,327
0.847,323
0.848,321
0.849,324
0.85,321
0.851,321
0.852,322
0.853,322
0.854,322
0.855,323
0.856,322
0.857,322
0.858,321
0.859,322
0.86,323
0.861,323
0.862,322
0.863,323
0.864,321
0.865,321
0.866,321
0.867,322
0.868,322
0.869,322
0.87,322
0.871,323
0.872,322
0.873,322
0.874,322
0.875,324
0.876,322
0.877,323
0.878,322
0.879,323
0.88,321
0.881,321
0.882,322
0.883,322
0.884,322
0.885,323
0.886,322
0.887,323
0.888,322
0.889,323
0.89,323
0.891,323
0.892,322
0.893,322
0.894,323
0.895,323
0.896,323
0.897,323
0.898,324
0.899,326
0.9,324
0.901,322
0.902,320
0.903,323
0.904,323
0.905,324
0.906,322
0.907,322
0.908,324
0.909,322
0.91,321
0.911,322
0.912,322
0.913,323
0.914,323
0.915,321
0.916,320
0.917,322
0.918,323
0.919,322
0.92,324
0.921,322
0.922,323
0.923,323
0.924,322
0.925,324
0.926,323
0.927,323
0.928,324
0.929,323
0.93,323
0.931,323
0.932,324
0.933,324
0.934,322
0.935,324
0.936,324
0.937,322
0.938,324
0.939,323
0.94,324
0.941,323
0.942,322
0.943,323
0.944,322
0.945,324
0.946,322
0.947,321
0.948,324
0.949,324
0.95,322
0.951,324
0.952,323
0.953,323
0.954,323
0.955,323
0.956,323
0.957,323
0.958,322
0.959,324
0.96,322
0.961,322
0.962,323
0.963,322
0.964,323
0.965,322
0.966,322
0.967,322
0.968,323
0.969,323
0.97,322
0.971,322
0.972,323
0.973,323
0.974,321
0.975,321
0.976,323
0.977,323
0.978,323
0.979,322
0.98,323
0.981,323
0.982,323
0.983,322
0.984,323
0.985,323
0.986,323
0.987,322
0.988,322
0.989,322
0.99,323
0.991,322
0.992,322
0.993,321
0.994,323
0.995,323
0.996,323
0.997,323
0.998,322
0.999,322
1,322
1.001,322
1.002,324
1.003,323
1.004,322
1.005,323
1.006,322
1.007,323
1.008,322
1.009,323
1.01,322
1.011,324
1.012,324
1.013,322
1.014,323
1.015,322
1.016,322
1.017,322
1.018,322
1.019,323
