time,LT
0,322
0.001,322
0.002,321
0.003,321
0.004,321
0.005,321
0.006,320
0.007,322
0.008,320
0.009,321
0.01,320
0.011,322
0.012,321
0.013,321
0.014,321
0.015,321
0.016,321
0.017,321
0.018,321
0.019,321
0.02,320
0.021,321
0.022,320
0.023,322
0.024,320
0.025,322
0.026,320
0.027,320
0.028,320
0.029,321
0.03,322
0.031,322
0.032,322
0.033,322
0.034,322
0.035,323
0.036,322
0.037,323
0.038,324
0.039,322
0.04,324
0.041,323
0.042,322
0.043,322
0.044,323
0.045,322
0.046,322
0.047,322
0.048,322
0.049,322
0.05,322
0.051,322
0.052,322
0.053,322
0.054,321
0.055,322
0.056,321
0.057,321
0.058,321
0.059,321
0.06,322
0.061,321
0.062,321
0.063,321
0.064,320
0.065,321
0.066,321
0.067,321
0.068,321
0.069,321
0.07,321
0.071,322
0.072,321
0.073,321
0.074,321
0.075,320
0.076,321
0.077,322
0.078,321
0.079,321
0.08,320
0.081,320
0.082,321
0.083,320
0.084,320
0.085,322
0.086,320
0.087,318
0.088,320
0.089,321
0.09,320
0.091,321
0.092,321
0.093,322
0.094,323
0.095,323
0.096,322
0.097,321
0.098,322
0.099,321
0.1,321
0.101,321
0.102,321
0.103,322
0.104,322
0.105,323
0.106,322
0.107,322
0.108,321
0.109,322
0.11,321
0.111,320
0.112,320
0.113,321
0.114,321
0.115,321
0.116,321
0.117,322
0.118,321
0.119,322
0.12,322
0.121,322
0.122,321
0.123,321
0.124,321
0.125,323
0.126,320
0.127,321
0.128,321
0.129,321
0.13,320
0.131,321
0.132,321
0.133,323
0.134,322
0.135,322
0.136,321
0.137,321
0.138,321
0.139,320
0.14,321
0.141,320
0.142,320
0.143,321
0.144,320
0.145,321
0.146,321
0.147,323
0.148,321
0.149,321
0.15,321
0.151,321
0.152,322
0.153,323
0.154,321
0.155,321
0.156,321
0.157,322
0.158,321
0.159,321
0.16,321
0.161,321
0.162,320
0.163,321
0.164,320
0.165,320
0.166,321
0.167,323
0.168,321
0.169,321
0.17,322
0.171,322
0.172,321
0.173,321
0.174,321
0.175,322
0.176,321
0.177,321
0.178,321
0.179,322
0.18,322
0.181,321
0.182,321
0.183,322
0.184,322
0.185,321
0.186,321
0.187,321
0.188,321
0.189,322
0.19,322
0.191,321
0.192,323
0.193,322
0.194,322
0.195,322
0.196,322
0.197,321
0.198,322
0.199,322
0.2,322
0.201,321
0.202,321
0.203,321
0.204,321
0.205,321
0.206,321
0.207,321
0.208,322
0.209,322
0.21,321
0.211,321
0.212,321
0.213,321
0.214,322
0.215,322
0.216,321
0.217,321
0.218,321
0.219,321
0.22,322
0.221,321
0.222,321
0.223,321
0.224,321
0.225,321
0.226,320
0.227,321
0.228,322
0.229,323
