time,LT
0,314
0.001,321
0.002,329
0.003,335
0.004,339
0.005,334
0.006,331
0.007,324
0.008,323
0.009,319
0.01,315
0.011,313
0.012,313
0.013,315
0.014,315
0.015,315
0.016,315
0.017,316
0.018,320
0.019,317
0.02,314
0.021,313
0.022,313
0.023,315
0.024,317
0.025,319
0.026,318
0.027,321
0.028,324
0.029,325
0.03,326
0.031,329
0.032,331
0.033,335
0.034,336
0.035,332
0.036,328
0.037,325
0.038,322
0.039,320
0.04,315
0.041,316
0.042,320
0.043,322
0.044,320
0.045,321
0.046,322
0.047,322
0.048,321
0.049,322
0.05,322
0.051,324
0.052,325
0.053,332
0.054,336
0.055,336
0.056,339
0.057,340
0.058,336
0.059,333
0.06,329
0.061,326
0.062,325
0.063,322
0.064,319
0.065,319
0.066,322
0.067,327
0.068,324
0.069,320
0.07,314
0.071,313
0.072,309
0.073,308
0.074,307
0.075,310
0.076,314
0.077,317
0.078,318
0.079,320
0.08,320
0.081,321
0.082,322
0.083,323
0.084,323
0.085,322
0.086,321
0.087,320
0.088,321
0.089,321
0.09,323
0.091,325
0.092,325
0.093,325
0.094,328
0.095,327
0.096,325
0.097,326
0.098,328
0.099,326
0.1,324
0.101,326
0.102,325
0.103,323
0.104,323
0.105,323
0.106,326
0.107,327
0.108,322
0.109,321
0.11,326
0.111,333
0.112,336
0.113,336
0.114,331
0.115,326
0.116,326
0.117,331
0.118,331
0.119,328
0.12,324
0.121,320
0.122,318
0.123,319
0.124,317
0.125,315
0.126,314
0.127,314
0.128,314
0.129,315
0.13,314
0.131,317
0.132,317
0.133,319
0.134,318
0.135,322
0.136,328
0.137,334
0.138,340
0.139,339
0.14,334
0.141,328
0.142,325
0.143,323
0.144,323
0.145,321
0.146,320
0.147,319
0.148,316
0.149,319
0.15,319
0.151,320
0.152,323
0.153,323
0.154,322
0.155,322
0.156,321
0.157,321
0.158,321
0.159,320
0.16,318
0.161,320
0.162,324
0.163,325
0.164,325
0.165,325
0.166,324
0.167,325
0.168,321
0.169,322
0.17,324
0.171,322
0.172,323
0.173,327
0.174,328
0.175,330
0.176,327
0.177,327
0.178,323
0.179,326
0.18,330
0.181,334
0.182,330
0.183,329
0.184,330
0.185,328
0.186,328
0.187,324
0.188,322
0.189,318
0.19,320
0.191,319
0.192,318
0.193,321
0.194,322
0.195,324
0.196,320
0.197,316
0.198,315
0.199,315
0.2,316
0.201,315
0.202,315
0.203,318
0.204,320
0.205,321
0.206,323
0.207,323
0.208,325
0.209,325
0.21,329
0.211,332
0.212,330
0.213,327
0.214,326
0.215,326
0.216,324
0.217,320
0.218,317
0.219,317
0.22,321
0.221,323
0.222,326
0.223,328
0.224,333
0.225,335
0.226,330
0.227,327
0.228,324
0.229,320
0.23,317
0.231,319
0.232,324
0.233,324
0.234,325
0.235,330
0.236,330
0.237,329
0.238,327
0.239,320
0.24,319
0.241,323
0.242,328
0.243,331
0.244,328
0.245,328
0.246,324
0.247,328
0.248,328
0.249,330
0.25,324
0.251,317
0.252,324
0.253,326
0.254,318
0.255,317
0.256,312
0.257,314
0.258,318
0.259,325
0.26,327
0.261,323
0.262,320
0.263,319
0.264,321
0.265,315
0.266,309
0.267,309
0.268,311
0.269,316
0.27,321
0.271,321
0.272,321
0.273,324
0.274,326
0.275,323
0.276,322
0.277,321
0.278,320
0.279,319
0.28,320
0.281,324
0.282,326
0.283,325
0.284,325
0.285,324
0.286,324
0.287,324
0.288,321
0.289,321
0.29,322
0.291,322
0.292,324
0.293,326
0.294,331
0.295,334
0.296,336
0.297,338
0.298,343
0.299,344
0.3,342
0.301,338
0.302,333
0.303,331
0.304,326
0.305,320
0.306,314
0.307,313
0.308,311
0.309,310
0.31,311
0.311,308
0.312,310
0.313,313
0.314,321
0.315,332
0.316,339
0.317,343
0.318,338
0.319,327
0.32,320
0.321,315
0.322,310
0.323,309
0.324,310
0.325,315
0.326,319
0.327,320
0.328,315
0.329,312
0.33,311
0.331,313
0.332,315
0.333,319
0.334,323
0.335,325
0.336,326
0.337,328
0.338,334
0.339,338
0.34,340
0.341,336
0.342,335
0.343,330
0.344,326
0.345,323
0.346,319
0.347,312
0.348,308
0.349,311
0.35,313
0.351,316
0.352,317
0.353,317
0.354,319
0.355,320
0.356,322
0.357,320
0.358,324
0.359,327
0.36,324
0.361,325
0.362,326
0.363,325
0.364,327
0.365,324
0.366,322
0.367,327
0.368,327
0.369,327
0.37,328
0.371,330
0.372,340
0.373,346
0.374,344
0.375,337
0.376,330
0.377,325
0.378,323
0.379,319
0.38,312
0.381,308
0.382,312
0.383,315
0.384,317
0.385,313
0.386,312
0.387,313
0.388,313
0.389,318
0.39,325
0.391,330
0.392,335
0.393,336
0.394,335
0.395,331
0.396,325
0.397,321
0.398,319
0.399,318
0.4,319
0.401,319
0.402,319
0.403,318
0.404,319
0.405,317
0.406,316
0.407,317
0.408,322
0.409,325
0.41,328
0.411,335
0.412,335
0.413,335
0.414,337
0.415,336
0.416,335
0.417,334
0.418,329
0.419,322
0.42,319
0.421,320
0.422,312
0.423,312
0.424,313
0.425,311
0.426,312
0.427,314
0.428,310
0.429,311
0.43,315
0.431,318
0.432,322
0.433,328
0.434,329
0.435,326
0.436,326
0.437,329
0.438,325
0.439,322
0.44,325
0.441,326
0.442,325
0.443,326
0.444,326
